rank_group,model_or_signal,source_step,sample,months,mean_monthly_ic,median_monthly_ic,annualized_return,annualized_vol,sharpe,cumulative_return,max_drawdown,positive_month_share,mean_monthly_return,mean_turnover,notes,leaderboard_rank
transparent_signal_net,composite_residual_rank,08B,test_2020_2024,60,0.1034030317,0.1021922893,0.0629119354,0.0184970384,3.40119,0.3674061506,-0.0018702146,0.983333,0.0052426613,1.2842564536,Net of 10 bps turnover cost.,1
transparent_signal_net,last_residual_over_rmse,08B,test_2020_2024,60,0.0998358726,0.1005586471,0.0615371973,0.018838633,3.266543,0.3580449833,-0.0050873834,0.95,0.0051280998,1.3026887106,Net of 10 bps turnover cost.,2
transparent_signal_net,last_issuer_date_residual_z,08B,test_2020_2024,60,0.1016616985,0.1038798858,0.0616647044,0.0193990718,3.178745,0.3588398582,-0.0035919823,0.95,0.0051387254,1.275879867,Net of 10 bps turnover cost.,3
transparent_signal_net,last_bucket_residual_z,08B,test_2020_2024,60,0.111439456,0.1165595044,0.0761399167,0.0273411665,2.784809,0.4589060909,-0.0161201071,0.833333,0.0063449931,1.2914482043,Net of 10 bps turnover cost.,4
transparent_signal_net,last_residual_pctile,08B,test_2020_2024,60,0.1015740356,0.1035334665,0.0540892821,0.0210457337,2.570083,0.3083497503,-0.0186920535,0.933333,0.0045074402,1.2207344324,Net of 10 bps turnover cost.,5
transparent_signal_net,mean_issuer_date_residual_z,08B,test_2020_2024,60,0.0571786908,0.0574003938,0.0360445483,0.0197955233,1.820843,0.1960218253,-0.0124566322,0.75,0.0030037124,0.8830018171,Net of 10 bps turnover cost.,6
transparent_signal_net,cheap_share,08B,test_2020_2024,60,0.0495824729,0.0536722462,0.0213683041,0.0156193945,1.368062,0.1119895085,-0.0185026057,0.7,0.001780692,0.901008272,Net of 10 bps turnover cost.,7
lightgbm_cpu_net,lightgbm_cpu,08D,test_2020_2024,60,0.0704077341,0.0766155022,0.0699360852,0.0738327801,0.947223,0.3985203675,-0.0893630578,0.616667,0.0058280071,1.200875143,"CPU LightGBM, net of 10 bps turnover cost.",8
gpu_mlp_net,gpu_mlp,08C,test_2020_2024,60,0.100834998,0.135628774,0.0668961301,0.0742683751,0.900735,0.3769568677,-0.0975090417,0.65,0.0055746775,1.3663787451,"PyTorch GPU MLP, net of 10 bps turnover cost.",9
ridge_diagnostic_no_cost,pred_model__ridge_best_alpha_10000,08A,test_2020_2024,60,0.0827708723,0.0952761392,0.0537643884,,0.584537,,,0.583333,0.0044803657,,Diagnostic ridge spread only; not costed through turnover engine.,10
