sample,signal,construction,bucket_col,months,mean_monthly_ic,median_monthly_ic,positive_ic_share,mean_monthly_return_gross,mean_monthly_return_net,annualized_return_net_approx,annualized_vol_net,sharpe_net,cumulative_return_net,max_drawdown_net,positive_net_month_share,mean_turnover,mean_n_long,mean_n_short
all_2002_2024,composite_residual_rank,global,,270,0.1220928246,0.1226108518,0.985185,0.0078350991,0.006429184,0.0771502075,0.0212648907,3.628056,4.6146442952,-0.0064154501,0.977778,1.4059151499,474.741,474.7
all_2002_2024,composite_residual_rank,liquidity_neutral,liquidity_neutral_bucket,270,0.1220928246,0.1226108518,0.985185,0.0073155987,0.0059131317,0.0709575808,0.020885675,3.397428,3.8893383409,-0.0167652372,0.951852,1.4024669745,475.633,475.637
all_2002_2024,composite_residual_rank,maturity_neutral,maturity_neutral_bucket,266,0.1227499368,0.1227396801,0.984962,0.0075301024,0.0061153317,0.0733839799,0.0216018519,3.397115,4.0364359575,-0.0095786671,0.973684,1.4147707233,484.053,484.015
all_2002_2024,last_bucket_residual_z,global,,262,0.1157022111,0.116040891,0.980916,0.0066397571,0.0052582339,0.0630988067,0.0266593899,2.366851,2.9214628703,-0.0327231532,0.854962,1.3815232036,178.366,178.366
all_2002_2024,last_bucket_residual_z,liquidity_neutral,liquidity_neutral_bucket,262,0.1157022111,0.116040891,0.980916,0.006234606,0.0048435269,0.0581223228,0.0226822873,2.562454,2.5270649317,-0.0149256078,0.877863,1.3910790788,179.294,179.294
all_2002_2024,last_bucket_residual_z,maturity_neutral,maturity_neutral_bucket,262,0.1157022111,0.116040891,0.980916,0.0067387797,0.0053437206,0.0641246476,0.0239724433,2.674932,3.0156468135,-0.0194783432,0.870229,1.3950590316,178.149,178.149
all_2002_2024,last_issuer_date_residual_z,global,,270,0.1199180502,0.1196887293,0.977778,0.0078515462,0.006446611,0.0773593322,0.022486897,3.440196,4.637689153,-0.0082837827,0.951852,1.404935179,474.648,474.648
all_2002_2024,last_issuer_date_residual_z,liquidity_neutral,liquidity_neutral_bucket,270,0.1199180502,0.1196887293,0.977778,0.0072899769,0.0058929636,0.0707155635,0.0208704546,3.38831,3.8629892467,-0.0065412091,0.933333,1.3970132416,475.57,475.57
all_2002_2024,last_issuer_date_residual_z,maturity_neutral,maturity_neutral_bucket,266,0.1205861667,0.1204458393,0.981203,0.0075281272,0.006112571,0.0733508514,0.0207564596,3.533881,4.0346856776,-0.0096432605,0.969925,1.4155562737,483.951,483.951
all_2002_2024,last_residual_over_rmse,global,,270,0.1206100046,0.1224095951,0.981481,0.0077879194,0.0063658697,0.0763904365,0.021303032,3.585895,4.519968682,-0.0059589456,0.959259,1.4220497111,474.648,474.648
all_2002_2024,last_residual_over_rmse,liquidity_neutral,liquidity_neutral_bucket,270,0.1206100046,0.1224095951,0.981481,0.0073156669,0.0058961618,0.0707539414,0.0208311974,3.396537,3.8672631163,-0.0065053132,0.944444,1.4195051039,475.57,475.57
all_2002_2024,last_residual_over_rmse,maturity_neutral,maturity_neutral_bucket,266,0.1213915618,0.1229754815,0.981203,0.0075829864,0.0061476493,0.0737717921,0.0207109332,3.561973,4.0816865355,-0.0132741716,0.981203,1.4353371054,483.959,483.951
test_2020_2024,composite_residual_rank,global,,60,0.1034030317,0.1021922893,0.966667,0.0065269177,0.0052426613,0.0629119354,0.0184970384,3.40119,0.3674061506,-0.0018702146,0.983333,1.2842564536,774.283,774.3
test_2020_2024,composite_residual_rank,liquidity_neutral,liquidity_neutral_bucket,60,0.1034030317,0.1021922893,0.966667,0.0062475199,0.0049449843,0.0593398113,0.0204775441,2.897799,0.3430770893,-0.0063261755,0.933333,1.3025355883,775.0,775.05
test_2020_2024,composite_residual_rank,maturity_neutral,maturity_neutral_bucket,60,0.1034030317,0.1021922893,0.966667,0.0069296881,0.005629242,0.0675509035,0.0182936867,3.69258,0.3993389872,-0.0048356624,0.95,1.3004460979,777.067,777.05
test_2020_2024,last_bucket_residual_z,global,,60,0.111439456,0.1165595044,0.95,0.0076364413,0.0063449931,0.0761399167,0.0273411665,2.784809,0.4589060909,-0.0161201071,0.833333,1.2914482043,345.017,345.017
test_2020_2024,last_bucket_residual_z,liquidity_neutral,liquidity_neutral_bucket,60,0.111439456,0.1165595044,0.95,0.0069455512,0.0056270279,0.0675243347,0.020266007,3.331901,0.3988913792,-0.0082270664,0.883333,1.3185232745,346.0,346.0
test_2020_2024,last_bucket_residual_z,maturity_neutral,maturity_neutral_bucket,60,0.111439456,0.1165595044,0.95,0.00723625,0.0059407982,0.0712895789,0.0221167669,3.223327,0.4250513426,-0.010127244,0.9,1.2954517277,347.683,347.683
test_2020_2024,last_issuer_date_residual_z,global,,60,0.1016616985,0.1038798858,0.95,0.0064146052,0.0051387254,0.0616647044,0.0193990718,3.178745,0.3588398582,-0.0035919823,0.95,1.275879867,774.267,774.267
test_2020_2024,last_issuer_date_residual_z,liquidity_neutral,liquidity_neutral_bucket,60,0.1016616985,0.1038798858,0.95,0.0060084042,0.0047175791,0.0566109497,0.0189642096,2.985147,0.3251487922,-0.0056287035,0.916667,1.2908250842,774.967,774.967
test_2020_2024,last_issuer_date_residual_z,maturity_neutral,maturity_neutral_bucket,60,0.1016616985,0.1038798858,0.95,0.0070061085,0.0057040957,0.0684491483,0.0177528614,3.855668,0.4056693463,-0.0035220359,0.966667,1.3020127647,777.017,777.017
test_2020_2024,last_residual_over_rmse,global,,60,0.0998358726,0.1005586471,0.95,0.0064307885,0.0051280998,0.0615371973,0.018838633,3.266543,0.3580449833,-0.0050873834,0.95,1.3026887106,774.267,774.267
test_2020_2024,last_residual_over_rmse,liquidity_neutral,liquidity_neutral_bucket,60,0.0998358726,0.1005586471,0.95,0.006148815,0.0048191359,0.0578296305,0.0182245375,3.173174,0.333298734,-0.0037100728,0.95,1.3296791475,774.967,774.967
test_2020_2024,last_residual_over_rmse,maturity_neutral,maturity_neutral_bucket,60,0.0998358726,0.1005586471,0.95,0.0071619322,0.0058333622,0.0700003468,0.0185484132,3.773926,0.4164516475,-0.0043314976,0.983333,1.3285700027,777.017,777.017
train_2002_2016,composite_residual_rank,global,,174,0.1267383809,0.1280904629,0.988506,0.0087876246,0.0073338445,0.0880061335,0.023396478,3.761512,2.5522739202,-0.0064154501,0.977011,1.4537801709,343.397,343.339
train_2002_2016,composite_residual_rank,liquidity_neutral,liquidity_neutral_bucket,174,0.1267383809,0.1280904629,0.988506,0.0081762984,0.0067363231,0.080835877,0.0224229959,3.605044,2.2047670146,-0.0167652372,0.954023,1.4399753499,344.385,344.379
train_2002_2016,composite_residual_rank,maturity_neutral,maturity_neutral_bucket,170,0.1278758754,0.1282940681,0.988235,0.0083902403,0.0069303166,0.0831637992,0.0240281787,3.461095,2.2224218737,-0.0095786671,0.970588,1.4599236742,353.353,353.3
train_2002_2016,last_bucket_residual_z,global,,166,0.1168835357,0.1159766793,0.987952,0.0066628353,0.0052498718,0.0629984619,0.0288662396,2.182427,1.3716532267,-0.0327231532,0.831325,1.4129634638,110.627,110.627
train_2002_2016,last_bucket_residual_z,liquidity_neutral,liquidity_neutral_bucket,166,0.1168835357,0.1159766793,0.987952,0.0064420844,0.0050287779,0.0603453344,0.0253859815,2.377113,1.2895594099,-0.0149256078,0.855422,1.4133065298,111.536,111.536
train_2002_2016,last_bucket_residual_z,maturity_neutral,maturity_neutral_bucket,166,0.1168835357,0.1159766793,0.987952,0.0070675834,0.0056360891,0.0676330689,0.0264844852,2.553686,1.5300619651,-0.0194783432,0.849398,1.4314943311,108.717,108.717
train_2002_2016,last_issuer_date_residual_z,global,,174,0.1241074467,0.1284896429,0.982759,0.0087949161,0.0073383714,0.0880604565,0.0247821814,3.553378,2.5533988993,-0.0082837827,0.948276,1.456544763,343.276,343.276
train_2002_2016,last_issuer_date_residual_z,liquidity_neutral,liquidity_neutral_bucket,174,0.1241074467,0.1284896429,0.982759,0.0081872492,0.0067486056,0.0809832674,0.0227761802,3.555612,2.211236847,-0.0065412091,0.936782,1.4386435456,344.305,344.305
train_2002_2016,last_issuer_date_residual_z,maturity_neutral,maturity_neutral_bucket,170,0.1252514265,0.1291216715,0.988235,0.0083421342,0.0068820606,0.0825847268,0.023038081,3.584705,2.19728311,-0.0096432605,0.964706,1.4600736073,353.224,353.224
train_2002_2016,last_residual_over_rmse,global,,174,0.1257650818,0.1304687913,0.988506,0.0087186511,0.0072467155,0.0869605858,0.0232445013,3.741125,2.4993812526,-0.0059589456,0.971264,1.471935601,343.276,343.276
train_2002_2016,last_residual_over_rmse,liquidity_neutral,liquidity_neutral_bucket,174,0.1257650818,0.1304687913,0.988506,0.0081990265,0.0067435402,0.0809224827,0.0228878055,3.535616,2.2083163633,-0.0065053132,0.942529,1.4554862977,344.305,344.305
train_2002_2016,last_residual_over_rmse,maturity_neutral,maturity_neutral_bucket,170,0.1271092849,0.1309021192,0.988235,0.0083657763,0.0068875579,0.0826506952,0.0227717296,3.629531,2.2005159475,-0.0132741716,0.982353,1.4782183375,353.235,353.224
valid_2017_2019,composite_residual_rank,global,,36,0.1307889573,0.1335229118,1.0,0.005411528,0.0040024873,0.0480298478,0.0066999031,7.168738,0.1545804656,-0.0004224877,0.972222,1.4090407087,610.333,610.278
valid_2017_2019,composite_residual_rank,liquidity_neutral,liquidity_neutral_bucket,36,0.1307889573,0.1335229118,1.0,0.0049356815,0.003517342,0.0422081041,0.0057175068,7.382257,0.1346846867,-8.5505e-05,0.972222,1.4183394481,611.056,611.028
valid_2017_2019,composite_residual_rank,maturity_neutral,maturity_neutral_bucket,36,0.1307889573,0.1335229118,1.0,0.0044690307,0.0030464369,0.0365572423,0.005038453,7.255648,0.1156846054,0.0,1.0,1.4225937923,612.889,612.889
