sample,signal,construction,bucket_col,months,mean_monthly_ic,median_monthly_ic,positive_ic_share,mean_monthly_return_gross,mean_monthly_return_net,annualized_return_net_approx,annualized_vol_net,sharpe_net,cumulative_return_net,max_drawdown_net,positive_net_month_share,mean_turnover,mean_n_long,mean_n_short
all_2002_2024,composite_residual_rank,amount_neutral,amount_bucket,194,0.1183505644,0.1227396801,0.984536,0.0081014928,0.0067585599,0.0811027189,0.0358551325,2.261956,2.6578499884,-0.0085900335,0.927835,1.3429328534,239.582,239.572
all_2002_2024,composite_residual_rank,global,,270,0.1220928246,0.1226108518,0.985185,0.0078350991,0.006429184,0.0771502075,0.0212648907,3.628056,4.6146442952,-0.0064154501,0.977778,1.4059151499,474.741,474.7
all_2002_2024,composite_residual_rank,rating_neutral,rating_bucket,270,0.1220928246,0.1226108518,0.985185,0.0079526444,0.0065474718,0.0785696616,0.0214531934,3.662376,4.7951812477,-0.0034157258,0.974074,1.4051726426,472.326,472.341
all_2002_2024,last_bucket_residual_z,amount_neutral,amount_bucket,147,0.1148974079,0.1161406333,0.979592,0.0060135881,0.0047495997,0.0569951966,0.0198592295,2.86996,1.0020497612,-0.0227034297,0.857143,1.2639884321,136.952,136.952
all_2002_2024,last_bucket_residual_z,global,,262,0.1157022111,0.116040891,0.980916,0.0066397571,0.0052582339,0.0630988067,0.0266593899,2.366851,2.9214628703,-0.0327231532,0.854962,1.3815232036,178.366,178.366
all_2002_2024,last_bucket_residual_z,rating_neutral,rating_bucket,262,0.1157022111,0.116040891,0.980916,0.0068529459,0.0054704562,0.065645474,0.0275337834,2.384179,3.1425778414,-0.0215386158,0.870229,1.3824897733,174.794,174.794
all_2002_2024,last_issuer_date_residual_z,amount_neutral,amount_bucket,194,0.116543505,0.1190261905,0.979381,0.0081989649,0.0068527396,0.0822328753,0.0373233289,2.203257,2.7217952377,-0.0097070507,0.907216,1.3462253079,239.562,239.562
all_2002_2024,last_issuer_date_residual_z,global,,270,0.1199180502,0.1196887293,0.977778,0.0078515462,0.006446611,0.0773593322,0.022486897,3.440196,4.637689153,-0.0082837827,0.951852,1.404935179,474.648,474.648
all_2002_2024,last_issuer_date_residual_z,rating_neutral,rating_bucket,270,0.1199180502,0.1196887293,0.977778,0.007981057,0.0065765554,0.0789186649,0.0217445705,3.62935,4.8397408301,-0.0061650116,0.959259,1.4045015532,472.27,472.27
all_2002_2024,last_residual_over_rmse,amount_neutral,amount_bucket,194,0.1164015376,0.1215938696,0.979381,0.0075350697,0.0061621058,0.0739452698,0.0340432083,2.172101,2.2635291302,-0.0124620468,0.881443,1.3729639188,239.562,239.562
all_2002_2024,last_residual_over_rmse,global,,270,0.1206100046,0.1224095951,0.981481,0.0077879194,0.0063658697,0.0763904365,0.021303032,3.585895,4.519968682,-0.0059589456,0.959259,1.4220497111,474.648,474.648
all_2002_2024,last_residual_over_rmse,rating_neutral,rating_bucket,270,0.1206100046,0.1224095951,0.981481,0.0079864224,0.0065651206,0.0787814474,0.0207507606,3.796557,4.8245179025,-0.0053403578,0.959259,1.4213017661,472.27,472.27
test_2020_2024,composite_residual_rank,amount_neutral,amount_bucket,60,0.1034030317,0.1021922893,0.966667,0.0064743563,0.0052440454,0.0629285443,0.0203852865,3.086959,0.3672812259,-0.0085900335,0.95,1.2303109069,556.833,556.85
test_2020_2024,composite_residual_rank,global,,60,0.1034030317,0.1021922893,0.966667,0.0065269177,0.0052426613,0.0629119354,0.0184970384,3.40119,0.3674061506,-0.0018702146,0.983333,1.2842564536,774.283,774.3
test_2020_2024,composite_residual_rank,rating_neutral,rating_bucket,60,0.1034030317,0.1021922893,0.966667,0.0064610064,0.0051786139,0.0621433663,0.019007558,3.269403,0.3621274407,-0.001760848,0.966667,1.2823924921,771.567,771.6
test_2020_2024,last_bucket_residual_z,amount_neutral,amount_bucket,60,0.111439456,0.1165595044,0.95,0.0073880351,0.0061622051,0.0739464615,0.0238249161,3.103745,0.4437223978,-0.0201545771,0.916667,1.2258299258,260.733,260.733
test_2020_2024,last_bucket_residual_z,global,,60,0.111439456,0.1165595044,0.95,0.0076364413,0.0063449931,0.0761399167,0.0273411665,2.784809,0.4589060909,-0.0161201071,0.833333,1.2914482043,345.017,345.017
test_2020_2024,last_bucket_residual_z,rating_neutral,rating_bucket,60,0.111439456,0.1165595044,0.95,0.0076449892,0.0063586277,0.0763035322,0.0254880034,2.993704,0.460438744,-0.0149021248,0.85,1.2863615256,342.817,342.817
test_2020_2024,last_issuer_date_residual_z,amount_neutral,amount_bucket,60,0.1016616985,0.1038798858,0.95,0.0064179693,0.0052030451,0.0624365415,0.0213290853,2.927296,0.3638102045,-0.0097070507,0.933333,1.2149242178,556.817,556.817
test_2020_2024,last_issuer_date_residual_z,global,,60,0.1016616985,0.1038798858,0.95,0.0064146052,0.0051387254,0.0616647044,0.0193990718,3.178745,0.3588398582,-0.0035919823,0.95,1.275879867,774.267,774.267
test_2020_2024,last_issuer_date_residual_z,rating_neutral,rating_bucket,60,0.1016616985,0.1038798858,0.95,0.0064797351,0.0052037544,0.0624450527,0.0206984441,3.016896,0.3639561735,-0.0038052176,0.933333,1.2759807197,771.55,771.55
test_2020_2024,last_residual_over_rmse,amount_neutral,amount_bucket,60,0.0998358726,0.1005586471,0.95,0.0063420179,0.0050819325,0.0609831896,0.02195126,2.778118,0.3538980661,-0.0091310464,0.916667,1.260085449,556.817,556.817
test_2020_2024,last_residual_over_rmse,global,,60,0.0998358726,0.1005586471,0.95,0.0064307885,0.0051280998,0.0615371973,0.018838633,3.266543,0.3580449833,-0.0050873834,0.95,1.3026887106,774.267,774.267
test_2020_2024,last_residual_over_rmse,rating_neutral,rating_bucket,60,0.0998358726,0.1005586471,0.95,0.0064389552,0.0051370099,0.0616441192,0.0184589566,3.339524,0.3588131944,-0.0053403578,0.933333,1.301945303,771.55,771.55
train_2002_2016,composite_residual_rank,amount_neutral,amount_bucket,98,0.1229329095,0.1289792119,0.989796,0.0100689644,0.0086319398,0.103583277,0.0468363108,2.211602,1.3022049773,-0.0080607866,0.908163,1.437024689,57.531,57.51
train_2002_2016,composite_residual_rank,global,,174,0.1267383809,0.1280904629,0.988506,0.0087876246,0.0073338445,0.0880061335,0.023396478,3.761512,2.5522739202,-0.0064154501,0.977011,1.4537801709,343.397,343.339
train_2002_2016,composite_residual_rank,rating_neutral,rating_bucket,174,0.1267383809,0.1280904629,0.988506,0.0089983821,0.0075452995,0.0905435943,0.0234055379,3.868469,2.6844104787,-0.0034157258,0.977011,1.4530826113,341.184,341.19
train_2002_2016,last_bucket_residual_z,amount_neutral,amount_bucket,51,0.1172275798,0.1188870966,1.0,0.0057976228,0.0044583311,0.053499973,0.0190062826,2.814857,0.2537324614,-0.0049479498,0.823529,1.3392916758,33.216,33.216
