sample,signal,construction,bucket_col,months,delta_mean_years_to_maturity_mean_avg,delta_last_years_to_maturity_mean_avg,delta_mean_curve_rmse_mean_avg,delta_last_curve_rmse_mean_avg,delta_mean_n_issues_mean_avg,delta_max_n_issues_mean_avg,delta_total_trade_count_mean_avg,delta_total_gross_volume_mean_avg,delta_mean_log_gross_volume_mean_avg,delta_mean_liquidity_weight_mean_avg,delta_mean_curve_support_score_mean_avg,delta_cheap_share_mean_avg,delta_rich_share_mean_avg,delta_unstable_curve_share_mean_avg,delta_coupon_mean_avg,delta_amount_outstanding_mean_avg,long_amount_outstanding_mean_avg,short_amount_outstanding_mean_avg,long_rating_a_or_better_share_avg,long_rating_bb_share_avg,short_rating_a_or_better_share_avg,short_rating_bb_share_avg,short_rating_missing_share_avg,long_rating_missing_share_avg,long_rating_ccc_or_lower_share_avg,long_rating_b_share_avg,short_rating_b_share_avg,short_rating_ccc_or_lower_share_avg,long_amount_small_amt_share_avg,long_amount_mid_amt_share_avg,long_amount_large_amt_share_avg,short_amount_small_amt_share_avg,short_amount_large_amt_share_avg,short_amount_mid_amt_share_avg,long_amount_missing_share_avg,short_amount_missing_share_avg,short_rating_default_share_avg,long_rating_default_share_avg
all_2002_2024,composite_residual_rank,amount_neutral,amount_bucket,194,-0.5773451126,-0.5760320771,-0.0257397732,-0.0304207169,-2.3607591848,-3.026290631,-9.2676056327,-14083714.585807752,-0.4813508721,-1.3708681614,-0.0012397452,0.7294464573,-0.7294464573,-0.001277104,1.0149864315,19433.3427708869,671361.3587955949,651928.0160247079,0.522914056,0.4585193353,0.5561241809,0.423047368,0.0153188228,0.0142222157,0.0152610165,0.0146311621,0.0183510966,0.0136753823,0.3606217015,0.3324256299,0.3102655095,0.3604822658,0.3103511756,0.3324801219,,,,
all_2002_2024,composite_residual_rank,global,,270,1.4186933469,1.4231854918,0.0243484349,0.0267243592,-4.8392351365,-6.0335153153,-37.912631039,-24245883.483841717,-0.6944497087,-3.2985408651,-0.1219858606,0.6757687136,-0.6757687136,0.0017795526,1.0369984542,-143992.6129512379,452942.4542800515,579187.0588677652,0.5095692639,0.42803105,0.5348599778,0.4131574853,0.0188927627,0.0284251817,0.0142364034,0.0281743229,0.0289521852,0.0123327823,0.1843340663,0.0776965215,0.0436757689,0.0823806551,0.0805006587,0.1053273228,0.7361510663,0.7708377244,0.0043595381,0.0031731801
all_2002_2024,composite_residual_rank,rating_neutral,rating_bucket,270,1.5374474495,1.5417079723,0.0006083339,0.0032406329,-4.8244641475,-5.9858356653,-36.9742450458,-24555623.42636652,-0.6980488599,-3.2638851925,-0.1106572292,0.6728032366,-0.6728032366,0.0001283664,1.036767358,-140530.2382964831,450419.8814331106,579092.8769874456,0.5374718097,0.4245806426,0.5374685226,0.4245770873,0.0336895572,0.0337173145,0.0242748875,0.0307445701,0.0307608019,0.0242736081,0.1864802287,0.0788657976,0.0445375763,0.0827976442,0.0808250464,0.1055771859,0.7323861226,0.7699912081,,
all_2002_2024,last_bucket_residual_z,amount_neutral,amount_bucket,147,-1.1900581449,-1.1882986938,-0.0334108654,-0.0321896453,-3.1659538268,-3.9872046776,-2.7298289644,-16109188.010032605,-0.4131578215,-1.3572284095,0.0038642858,0.7075073516,-0.7075073516,-0.0005566833,1.1123976211,22499.467221821,823406.995566963,800907.5283451418,0.6127552608,0.3704936842,0.6866568124,0.3043280898,0.0184763349,0.0155358052,0.0427689011,0.0102309,0.0082159279,0.026334228,0.2985401464,0.3434148851,0.3763229366,0.2985401464,0.3763229366,0.3434148851,,,,
all_2002_2024,last_bucket_residual_z,global,,262,-0.9352416113,-0.9313674416,0.0807259521,0.0748142065,-6.4593291298,-8.5211745349,-28.0748924275,-32828019.43467531,-0.804644513,-3.3663538783,-0.0688099795,0.665590743,-0.665590743,0.0075416977,0.8743097794,-175253.5984461887,539972.5410291464,718675.6926070098,0.6584085313,0.2799031469,0.6816120817,0.2667224056,0.0409225108,0.0580413614,0.0153379787,0.0167630536,0.0233439513,0.0217497999,0.1730818063,0.082571128,0.0673571784,0.0914618264,0.1385268973,0.1208259692,0.7293898815,0.714206437,0.023848908,0.0089328661
all_2002_2024,last_bucket_residual_z,rating_neutral,rating_bucket,262,-0.7849571101,-0.7816366932,0.0493528,0.0438257177,-6.2640354076,-8.0511505518,-23.6143198464,-31152434.53942105,-0.7520200258,-3.072936054,-0.0488877462,0.655441794,-0.655441794,0.0053274711,0.9476603396,-171414.0149768406,545141.7743063762,718846.8341807034,0.7016884849,0.3050312805,0.7016884849,0.3050312805,0.0944216397,0.0944216397,0.0693069307,,,0.0693069307,0.174397404,0.0862870918,0.0705362034,0.0921720264,0.1403046981,0.1216196435,0.7223793988,0.7107374519,,
all_2002_2024,last_issuer_date_residual_z,amount_neutral,amount_bucket,194,-0.295304425,-0.2946447118,-0.0246549188,-0.0237729135,0.0490583189,-0.3310158221,-9.1976615943,-13846998.64387829,-0.490907797,-1.2577988216,0.1290415094,0.7220976808,-0.7220976808,-0.0010535227,1.0026416745,19005.354680658,666007.2966582578,647001.9419775999,0.5416469213,0.4411636672,0.5493478218,0.4286029628,0.0153359046,0.0139700359,0.0156703891,0.0152539598,0.0196955106,0.0124756806,0.360487689,0.3324697534,0.3103560929,0.360487689,0.3103560929,0.3324697534,,,,
all_2002_2024,last_issuer_date_residual_z,global,,270,1.7832671224,1.7866911877,0.0358239977,0.0361208197,-1.699018791,-2.4583495323,-27.4655631804,-19808564.392200667,-0.6414756857,-2.6303496543,0.0027993341,0.6753470114,-0.6753453934,0.0037746593,0.9467847767,-101993.7433878286,479416.6318436662,564022.0160541321,0.5281439945,0.4114184938,0.5244545937,0.4214865205,0.0168689551,0.0310703173,0.0138008801,0.0246477357,0.0317276353,0.0129712276,0.1802180884,0.0804479643,0.0510739544,0.0829807858,0.0758557387,0.1071534567,0.7307995636,0.773415942,0.0038671929,0.0033072619
all_2002_2024,last_issuer_date_residual_z,rating_neutral,rating_bucket,270,1.8699207389,1.87303295,0.0041837702,0.0051882468,-2.0273377017,-2.7812346013,-25.9072778387,-19966114.313331924,-0.624949623,-2.5347137857,0.0040758036,0.6719389784,-0.6719373554,0.0011995746,1.0064852684,-94892.8322925175,480239.6281369647,563546.5033923599,0.5375081937,0.4245424575,0.5375081937,0.4245424575,0.0336988731,0.0336988731,0.0242813088,0.030748343,0.030748343,0.0242813088,0.1813345596,0.0813952102,0.0519694094,0.0834696286,0.0766460564,0.1073554783,0.7284410768,0.7721541942,,
all_2002_2024,last_residual_over_rmse,amount_neutral,amount_bucket,194,-0.3329804573,-0.3325419151,-0.0232907619,-0.0248620023,-0.2226110529,-0.520666234,-9.098950789,-11519389.592737846,-0.4640093987,-1.2937711988,0.1239189818,0.7149997035,-0.7149997035,-0.0007325492,0.9620376467,14003.6583269781,653472.5308157215,639468.8724887434,0.5304123122,0.4512418491,0.5431592931,0.4365615214,0.0153769891,0.012960813,0.0186236254,0.0151659021,0.0184449299,0.0111780983,0.360487689,0.3324697534,0.3103560929,0.360487689,0.3103560929,0.3324697534,,,,
